Fp1,Fp2,C3,C4,P7,P8,O1,O2,marker
19611.286474619686,15199.812078453551,-133194.82752023073,-187500.02235174447,-158378.7391637253,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19566.73944792026,15191.296063816078,-133240.02274751934,-187500.02235174447,-158416.37950138803,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19569.868692144002,15193.061851628048,-133243.6437301211,-187500.02235174447,-158422.14625145748,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19585.805485940637,15198.67213948633,-133324.33352760476,-187500.02235174447,-158496.06347037118,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19594.88029418949,15195.118212117937,-133360.49865013346,-187500.02235174447,-158518.14699389302,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19570.53924447766,15190.223180082225,-133370.44517641608,-187500.02235174447,-158525.6124765411,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19557.128197804475,15183.42824976781,-133442.12722088423,-187500.02235174447,-158593.36061398513,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19580.374012037995,15185.953996891261,-133462.3555496163,-187500.02235174447,-158601.89898036708,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19605.40796582794,15197.129869118915,-133459.27100888145,-187500.02235174447,-158593.9864628299,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19578.02707887019,15189.664386470842,-133540.25137904304,-187500.02235174447,-158671.2564434119,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19551.24968901273,15166.820903637517,-133575.54478353797,-187500.02235174447,-158701.23013272646,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19590.566407509614,15190.983139393706,-133604.5349960965,-187500.02235174447,-158725.74999639392,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19609.20776238534,15213.53604954911,-133601.04812396146,-187500.02235174447,-158715.4011387111,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19593.896817433455,15198.895656930883,-133673.95951437467,-187500.02235174447,-158786.479686079,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19564.88425313047,15186.646900969376,-133781.35964648242,-187500.02235174447,-158887.68838497263,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19581.69276496086,15186.825714925018,-133770.40729169935,-187500.02235174447,-158870.32107953087,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19611.845268231067,15194.134735361904,-133750.80481181204,-187500.02235174447,-158847.27643099744,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19597.36133782403,15191.564284749544,-133832.835713963,-187500.02235174447,-158922.53475457846,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19567.320593276097,15181.595406722476,-133935.45257275732,-187500.02235174447,-159019.6977877257,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19576.52951199168,15184.836409668496,-133961.58176202557,-187500.02235174447,-159042.9883054481,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19610.70532926385,15191.76545044964,-133986.10162569306,-187500.02235174447,-159061.36143939037,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19607.933712951388,15191.966616149739,-133986.14632918197,-187500.02235174447,-159057.20401492168,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19588.711212719823,15195.006453395661,-134073.56400174665,-187500.02235174447,-159146.47688227618,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19590.253483087243,15192.413651038845,-134141.37919442408,-187500.02235174447,-159203.317368426,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19600.35647158104,15177.348575275968,-134126.9176157615,-187500.02235174447,-159177.83637974696,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
